book_names,book_urls,author_name,avg_rating,no_of_ratings,img_src,no_of_pages,image_name
"Assassin's Apprentice (Farseer Trilogy, #1)",https://www.goodreads.com/book/show/77197.Assassin_s_Apprentice,Robin Hobb,4.19,370813,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1673728072i/77197._SY75_.jpg,435.0,cover_712.png
Jonathan Livingston Seagull,https://www.goodreads.com/book/show/71728.Jonathan_Livingston_Seagull,Richard Bach,3.86,265572,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1432222358i/71728._SX50_.jpg,112.0,cover_713.png
"After You (Me Before You, #2)",https://www.goodreads.com/book/show/27774596-after-you,Jojo Moyes,3.74,406359,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1539892322i/27774596._SY75_.jpg,352.0,cover_714.png
This is Going to Hurt: Secret Diaries of a Junior Doctor,https://www.goodreads.com/book/show/35510008-this-is-going-to-hurt,Adam Kay,4.40,312949,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1498340278i/35510008._SY75_.jpg,285.0,cover_715.png
"The Death Cure (The Maze Runner, #3)",https://www.goodreads.com/book/show/7864437-the-death-cure,James Dashner,3.78,483734,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1303997647i/7864437._SY75_.jpg,325.0,cover_716.png
"The Murder of Roger Ackroyd (Hercule Poirot, #4)",https://www.goodreads.com/book/show/16328.The_Murder_of_Roger_Ackroyd,Agatha Christie,4.27,319060,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389734015i/16328._SY75_.jpg,288.0,cover_717.png
"The Sandman, Vol. 1: Preludes & Nocturnes",https://www.goodreads.com/book/show/23754.The_Sandman_Vol_1,Neil Gaiman,4.25,270417,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1411609637i/23754._SY75_.jpg,240.0,cover_718.png
Just Listen,https://www.goodreads.com/book/show/51738.Just_Listen,Sarah Dessen,4.05,249445,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1358270741i/51738._SY75_.jpg,371.0,cover_719.png
On Writing: A Memoir of the Craft,https://www.goodreads.com/book/show/10569.On_Writing,Stephen King,4.34,307576,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1436735207i/10569._SY75_.jpg,320.0,cover_720.png
"Delirium (Delirium, #1)",https://www.goodreads.com/book/show/11614718-delirium,Lauren Oliver,3.95,475694,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327890411i/11614718._SX50_.jpg,441.0,cover_721.png
"Betrayed (House of Night, #2)",https://www.goodreads.com/book/show/676924.Betrayed,P.C. Cast,3.92,276934,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1406941788i/676924._SX50_.jpg,310.0,cover_722.png
Fantastic Beasts and Where to Find Them,https://www.goodreads.com/book/show/41899.Fantastic_Beasts_and_Where_to_Find_Them,Newt Scamander,3.95,413256,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1303738520i/41899._SX50_.jpg,128.0,cover_723.png
The Truth About Forever,https://www.goodreads.com/book/show/51737.The_Truth_About_Forever,Sarah Dessen,4.12,225291,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1362767907i/51737._SY75_.jpg,374.0,cover_724.png
The Runaway Jury,https://www.goodreads.com/book/show/24192.The_Runaway_Jury,John Grisham,4.03,311317,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388444668i/24192._SY75_.jpg,464.0,cover_725.png
"Wizard's First Rule (Sword of Truth, #1)",https://www.goodreads.com/book/show/43889.Wizard_s_First_Rule,Terry Goodkind,4.12,251426,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1385248539i/43889._SY75_.jpg,836.0,cover_726.png
The Pact,https://www.goodreads.com/book/show/10916.The_Pact,Jodi Picoult,4.03,321680,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1410754561i/10916._SY75_.jpg,512.0,cover_727.png
The Historian,https://www.goodreads.com/book/show/30236962-the-historian,Elizabeth Kostova,3.80,272759,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1717145561i/30236962._SY75_.jpg,704.0,cover_728.png
"Harry Potter Series Box Set (Harry Potter, #1-7)",https://www.goodreads.com/book/show/862041.Harry_Potter_Series_Box_Set,J.K. Rowling,4.73,298451,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1534298934i/862041._SX50_.jpg,4100.0,cover_729.png
Just Mercy,https://www.goodreads.com/book/show/20342617-just-mercy,Bryan Stevenson,4.63,251966,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1635827409i/20342617._SY75_.jpg,336.0,cover_730.png
