book_names,book_urls,author_name,avg_rating,no_of_ratings,img_src,my_rating,no_of_pages,image_name
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,https://www.goodreads.com/book/show/15843166-you-are-a-badass,Jen Sincero,3.95,288147,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1351539051i/15843166._SY75_.jpg,0.0,254.0,cover_1290.png
The Man Who Mistook His Wife for a Hat and Other Clinical Tales,https://www.goodreads.com/book/show/63697.The_Man_Who_Mistook_His_Wife_for_a_Hat_and_Other_Clinical_Tales,Oliver Sacks,4.05,245877,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1447047702i/63697._SY75_.jpg,0.0,243.0,cover_1291.png
Attachments,https://www.goodreads.com/book/show/8909152-attachments,Rainbow Rowell,3.86,209022,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1499377988i/8909152._SY75_.jpg,0.0,323.0,cover_1292.png
"Powerless (Chestnut Springs, #3)",https://www.goodreads.com/book/show/63031640-powerless,Elsie Silver,4.04,439378,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1750538973i/63031640._SY75_.jpg,0.0,504.0,cover_1293.png
The Complete Sherlock Holmes,https://www.goodreads.com/book/show/188572.The_Complete_Sherlock_Holmes,Arthur Conan Doyle,4.51,216689,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348815538i/188572._SY75_.jpg,0.0,1796.0,cover_1294.png
Romantic Comedy,https://www.goodreads.com/book/show/62628727-romantic-comedy,Curtis Sittenfeld,3.62,243608,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1679496983i/62628727._SY75_.jpg,0.0,309.0,cover_1295.png
"The Henna Artist (The Jaipur Trilogy, #1)",https://www.goodreads.com/book/show/50607466-the-henna-artist,Alka Joshi,4.18,215424,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1588690086i/50607466._SX50_.jpg,0.0,384.0,cover_1296.png
No Exit,https://www.goodreads.com/book/show/35522836-no-exit,Taylor Adams,3.98,214570,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1498539883i/35522836._SY75_.jpg,0.0,287.0,cover_1297.png
"Four: A Divergent Story Collection (Divergent, #0.1-0.4)",https://www.goodreads.com/book/show/18126198-four,Veronica Roth,3.93,256037,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1393687572i/18126198._SY75_.jpg,0.0,285.0,cover_1298.png
The Year of Magical Thinking,https://www.goodreads.com/book/show/7815.The_Year_of_Magical_Thinking,Joan Didion,3.93,299343,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1703310133i/7815._SY75_.jpg,0.0,227.0,cover_1299.png
"The Ex Hex (The Ex Hex, #1)",https://www.goodreads.com/book/show/56554626-the-ex-hex,Erin Sterling,3.47,286871,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1619305366i/56554626._SY75_.jpg,0.0,308.0,cover_1300.png
